country,development_level,fragility,education_level,gender,rural,wealth_quintile,out_of_school_rate,attendance_rate,completion_rate
Uganda,Least,0,Primary,Male,False,4,28.4,71.6,71.6
Uganda,Least,0,Primary,Female,False,3,18.4,81.6,81.6
Uganda,Least,0,Lower Secondary,Male,True,1,41.4,58.6,50.2
Uganda,Least,0,Lower Secondary,Female,True,2,33.2,66.8,47.3
Uganda,Least,0,Higher Secondary,Male,False,2,33.8,66.2,65.6
Uganda,Least,0,Higher Secondary,Female,False,5,17.3,73.7,61.5
India,Less,0,Primary,Male,True,1,28.1,71.9,71.9
India,Less,0,Primary,Female,False,2,16.4,83.6,83.6
India,Less,0,Lower Secondary,Male,False,2,13.4,80.2,80.2
India,Less,0,Lower Secondary,Female,False,3,15.0,85.0,85.0
India,Less,0,Higher Secondary,Male,True,5,17.8,71.9,71.9
India,Less,0,Higher Secondary,Female,True,5,21.6,78.4,63.1
Bhutan,Less,0,Primary,Male,False,1,20.9,79.1,79.1
Bhutan,Less,0,Primary,Female,False,1,23.0,77.0,77.0
Bhutan,Less,0,Lower Secondary,Male,True,3,21.3,78.6,69.7
Bhutan,Less,0,Lower Secondary,Female,True,4,18.2,81.8,66.6
Bhutan,Less,0,Higher Secondary,Male,False,5,6.1,88.1,83.3
Bhutan,Less,0,Higher Secondary,Female,False,1,7.9,78.7,71.4
Vietnam,Less,0,Primary,Male,True,4,15.1,84.9,82.4
Vietnam,Less,0,Primary,Female,True,1,34.6,65.4,65.4
Vietnam,Less,0,Lower Secondary,Male,True,4,23.2,76.8,76.8
Vietnam,Less,0,Lower Secondary,Female,True,5,13.6,85.6,81.4
Vietnam,Less,0,Higher Secondary,Male,False,4,8.0,70.8,70.8
Vietnam,Less,0,Higher Secondary,Female,True,5,26.8,69.0,68.9
Philippines,Less,0,Primary,Male,False,3,6.3,93.7,93.7
Philippines,Less,0,Primary,Female,True,3,25.6,74.4,74.4
Philippines,Less,0,Lower Secondary,Male,True,3,12.8,87.2,64.3
Philippines,Less,0,Lower Secondary,Female,False,1,17.0,83.0,66.9
Philippines,Less,0,Higher Secondary,Male,False,5,5.2,70.9,70.9
Philippines,Less,0,Higher Secondary,Female,False,1,22.5,66.2,57.3
Morocco,Less,0,Primary,Male,True,3,13.9,86.1,86.1
Morocco,Less,0,Primary,Female,False,1,17.3,82.7,82.7
Morocco,Less,0,Lower Secondary,Male,False,5,10.0,75.6,75.6
Morocco,Less,0,Lower Secondary,Female,True,1,28.9,69.8,54.8
Morocco,Less,0,Higher Secondary,Male,False,5,9.2,62.0,62.0
Morocco,Less,0,Higher Secondary,Female,True,3,15.6,72.0,52.1
Egypt,Less,0,Primary,Male,True,1,20.8,79.2,73.1
Egypt,Less,0,Primary,Female,True,4,18.0,82.0,82.0
Egypt,Less,0,Lower Secondary,Male,False,4,14.6,85.4,85.4
Egypt,Less,0,Lower Secondary,Female,True,5,23.0,73.0,71.2
Egypt,Less,0,Higher Secondary,Male,True,5,9.3,78.6,48.1
Egypt,Less,0,Higher Secondary,Female,True,2,21.5,78.5,58.0
Bosnia and Herzegovina,More,0,Primary,Male,True,5,11.7,88.3,88.3
Bosnia and Herzegovina,More,0,Primary,Female,False,3,3.9,96.1,96.1
Bosnia and Herzegovina,More,0,Lower Secondary,Male,False,1,7.7,84.2,84.2
Bosnia and Herzegovina,More,0,Lower Secondary,Female,True,5,7.4,70.2,70.2
Bosnia and Herzegovina,More,0,Higher Secondary,Male,False,2,1.3,59.7,55.8
Bosnia and Herzegovina,More,0,Higher Secondary,Female,False,4,1.5,79.7,67.3
Serbia,More,0,Primary,Male,False,1,2.9,88.6,88.6
Serbia,More,0,Primary,Female,True,3,8.4,85.0,81.7
Serbia,More,0,Lower Secondary,Male,False,1,5.9,85.3,82.3
Serbia,More,0,Lower Secondary,Female,False,3,4.5,92.1,92.1
Serbia,More,0,Higher Secondary,Male,False,3,0.0,70.8,70.8
Serbia,More,0,Higher Secondary,Female,True,2,9.8,62.3,61.7
Poland,More,0,Primary,Male,False,1,1.7,84.2,84.2
Poland,More,0,Primary,Female,False,3,1.4,88.0,88.0
Poland,More,0,Lower Secondary,Male,True,4,11.5,80.5,72.2
Poland,More,0,Lower Secondary,Female,True,5,6.2,85.0,85.0
Poland,More,0,Higher Secondary,Male,True,2,14.2,68.9,55.5
Poland,More,0,Higher Secondary,Female,False,4,0.0,68.6,68.6
Chile,More,0,Primary,Male,False,1,4.0,94.8,94.8
Chile,More,0,Primary,Female,False,3,4.1,85.3,85.3
Chile,More,0,Lower Secondary,Male,False,3,0.0,81.7,81.7
Chile,More,0,Lower Secondary,Female,False,2,9.2,79.4,79.4
Chile,More,0,Higher Secondary,Male,False,2,5.3,68.1,67.8
Chile,More,0,Higher Secondary,Female,True,1,14.3,72.9,43.5
Malaysia,More,0,Primary,Male,True,4,6.2,85.3,85.3
Malaysia,More,0,Primary,Female,False,3,1.5,93.7,93.7
Malaysia,More,0,Lower Secondary,Male,True,3,10.0,85.3,78.8
Malaysia,More,0,Lower Secondary,Female,True,4,12.3,87.7,87.7
Malaysia,More,0,Higher Secondary,Male,False,4,1.2,71.4,69.0
Malaysia,More,0,Higher Secondary,Female,False,2,6.6,63.3,63.3
